name,price
萌太奇宠物天地(世博源店),￥118
MINI MARS KIDS CLUB亲子家庭中心(长宁天山店),￥323
田心农创市集,￥53
彩虹糖蛋糕DIY茶歇甜品桌定制,￥126
溪婉笙歌汉服·茶歇·手作·团建,￥355
智慧陶陶艺体验中心(智慧湾店),￥108
Art-M阿特麦文化创意产业园,￥148
福布丝工作室,暂无价格
RESEE CANDLE烛见香薰调香工作室,暂无价格
龙锦结·道法手工编绳(静安大融城店),￥1146
晶妍云间·手作·团建·沙龙,￥116
安然工坊陶修,￥120
Paw&Tail宠物生活馆(国华店),￥143
太阳岛小小牧场,￥191
COFFEE CHERRY,￥45
宋明客厅(蟠龙天地店),￥144
仰望星空·天文宇宙观星,￥180
the Roll'ING手作瑞士卷专门店(上海首店),￥46
芳籍Liste d'Arome调香所,￥194
锦煜珠宝DIY·珍珠开蚌·团建活动(上海万达广场店),￥242
猪小姐烘焙屋,￥180
超能蔬菜农场,￥128
牵绳记·手工编绳(中庚漫游城店),￥560
六号金饰黄金加工珠宝打金店工作室,￥1269
水云涧·手工编绳·珠宝首饰,￥150
流梳手工绳艺坊,￥40
Fullmoon满月塔罗·心理疗愈工作室(江场西路店),￥215
牵绳记·手工编绳(上海环宇城MAX店),￥929
玉器手工编绳古玩店,￥67
一芽一葉(朱家角店),￥43
HomeClassroom烘焙料理(外滩店),￥1483
阿狗手打·手作,￥10
阿嬷手作·珍藏(上海新天地店),￥30
景迈森林(古华园店),￥66
结绳艺·米璆琳·DIY手工编绳(打浦桥.宝鼎大厦店),￥286
Hug禾果·手作烘焙(印象城店),￥58
YUAI余爱手作,￥9337
MoMo花园萌宠互动亲子乐园(芳甸店),￥137
KNOWIN潮流实验室(TX淮海店),￥2128
君之狮子山手作铺(万科天空之城店),￥30
东窑陶艺总店,￥128
系绳坊·手工编绳(南京东路店),￥237
八十八亩田·叶榭软糕(泰晤士店),￥61
宿於亲子游别墅度假村,￥388
木紫花道,￥199
除七Oneseventh宠物蛋糕烘焙DIY,￥201
快乐众共享农场(青浦店),￥100
梦斛轩花园茶室·团建活动·围炉冰茶·品茶,￥135
Bufftime·坦木城市营地·咖啡·屋顶花园,￥59
九木杂物社(上海奉贤龙湖天街店),￥79
Riotlily艾特里里(七宝领展广场店),￥746
Yue·悦(万达广场8号写字楼店),￥121
九木杂物社(九亭金地广场店),￥90
Bonus Club棋牌会所,￥36
苓苑共享茶空间·茶室(红星美凯龙店),￥64
九木杂物社(金虹桥商场店),￥63
大堂吧(上海滴水湖洲际酒店),￥105
嘻瓜吉他·音乐舍(金山店),暂无价格
MO师傅正骨推拿(静安寺店),￥195
山喜之·茶作(联洋广场店),￥20
巴黎贝甜(丰尚国际店),￥55
上海燕子打金店(通河分店),￥3714
圣医堂·专注肩颈痛症调理(徐家汇店),￥353
JK制服潮玩手作(上海大悦城北座店),暂无价格
一树家蛋糕·甜品商务茶歇(虹桥阿里店),￥109
幸福嘉农场餐厅(嘉北郊野公园店),￥93
九木杂物社(环宇荟店),￥79
一善·妙手堂中医经络调理中心,￥296
阿嬷手作(上海港汇恒隆广场店),￥31
SkinYu韩国科技皮肤管理(泥城店),￥118
APCOFFEE咖啡(云间路店),￥20
熠宠园·撸猫·寄养·侏儒羊猫咖乐园,￥106
Art Lab儿童创造乐园(南洋1931店),￥213
元大劉氏理療(五角场万达店),￥181
Riotlily艾特里里(世纪汇店),￥708
Riotlily艾特里里(兴业太古汇店),￥2988
巴黎贝甜(临港万达店),￥86
青臣刺青工作室,￥143
茉离宠物店,￥155
太阳岛亲子探索乐源,暂无价格
玩在一企团建·年会·旅行定制(宝山店),￥167
九州书院·古琴围棋书法,￥3019
正阳门推拿艾灸SPA(打浦桥店),￥176
Annata Vintage,￥1617
君之狮子山手作铺(松江印象城店),￥26
